Age,Gender,250_monthly_cost,250_annual_cost,500_monthly_cost,500_annual_cost,1m_monthly_cost,1m_annual_cost
20,Male,$182.00,"$2,184.00",$360.00,"$4,320.00",$702.00,"$8,424.00"
21,Male,$189.10,"$2,269.20",$374.20,"$4,490.40",$730.70,"$8,768.40"
22,Male,$196.20,"$2,354.40",$388.40,"$4,660.80",$759.40,"$9,112.80"
23,Male,$203.30,"$2,439.60",$402.60,"$4,831.20",$788.10,"$9,457.20"
24,Male,$210.40,"$2,524.80",$416.80,"$5,001.60",$816.80,"$9,801.60"
25,Male,$217.50,"$2,610.00",$431.00,"$5,172.00",$845.50,"$10,146.00"
26,Male,$224.60,"$2,695.20",$445.20,"$5,342.40",$874.20,"$10,490.40"
27,Male,$231.70,"$2,780.40",$459.40,"$5,512.80",$902.90,"$10,834.80"
28,Male,$238.80,"$2,865.60",$473.60,"$5,683.20",$931.60,"$11,179.20"
29,Male,$245.90,"$2,950.80",$487.80,"$5,853.60",$960.30,"$11,523.60"
30,Male,$253.00,"$3,036.00",$502.00,"$6,024.00",$989.00,"$11,868.00"
31,Male,$266.40,"$3,196.80",$528.60,"$6,343.20","$1,039.60","$12,475.20"
32,Male,$279.80,"$3,357.60",$555.20,"$6,662.40","$1,090.20","$13,082.40"
33,Male,$293.20,"$3,518.40",$581.80,"$6,981.60","$1,140.80","$13,689.60"
34,Male,$306.60,"$3,679.20",$608.40,"$7,300.80","$1,191.40","$14,296.80"
35,Male,$320.00,"$3,840.00",$635.00,"$7,620.00","$1,242.00","$14,904.00"
36,Male,$333.40,"$4,000.80",$661.60,"$7,939.20","$1,292.60","$15,511.20"
37,Male,$346.80,"$4,161.60",$688.20,"$8,258.40","$1,343.20","$16,118.40"
38,Male,$360.20,"$4,322.40",$714.80,"$8,577.60","$1,393.80","$16,725.60"
39,Male,$373.60,"$4,483.20",$741.40,"$8,896.80","$1,444.40","$17,332.80"
40,Male,$387.00,"$4,644.00",$768.00,"$9,216.00","$1,495.00","$17,940.00"
41,Male,$407.90,"$4,894.80",$810.00,"$9,720.00","$1,578.30","$18,939.60"
42,Male,$428.80,"$5,145.60",$852.00,"$10,224.00","$1,661.60","$19,939.20"
43,Male,$449.70,"$5,396.40",$894.00,"$10,728.00","$1,744.90","$20,938.80"
44,Male,$470.60,"$5,647.20",$936.00,"$11,232.00","$1,828.20","$21,938.40"
45,Male,$491.50,"$5,898.00",$978.00,"$11,736.00","$1,911.50","$22,938.00"
46,Male,$512.40,"$6,148.80","$1,020.00","$12,240.00","$1,994.80","$23,937.60"
47,Male,$533.30,"$6,399.60","$1,062.00","$12,744.00","$2,078.10","$24,937.20"
48,Male,$554.20,"$6,650.40","$1,104.00","$13,248.00","$2,161.40","$25,936.80"
